Trimbach Reisling,Reisling,Alsace France,Flint  Citrus,1
Domaine Schlumberger Saering Grand Cru Riesling,Riesling,Alsace France,Lemon Chamomile Chervil Red Apple,1
Joh Jos Prüm Wehlener Sonnenuhr Kabinett Riesling,Riesling,Mosel Germany,Apple Honeysuckle Passion Fruit Slate,1
Bründlmayer Kamptaler Terrassen Riesling,Riesling,Kamptal Austria,Pear Lemon Herbs,1
Von Winning Winnings Riesling,Riesling,Pfalz Germany,Creamy Mineraly,1
Dönnhoff Kreuznacher Krötenpful Riesling Kabinett,Reisling,Nahe Germany,Vanilla Pineapple Nectarine,1
Kuentz-Bas Riesling,Riesling,Alsace France,Floral Lemon Apple,1
Selbach-Oster Zeltinger Himmelreich Riesling Kabinett Halbtrocken,Riesling,Mosel Germany,Flinty Stone Fruit Salty,1
Mönchhof Estate Riesling,Riesling,Mosel Germany,Apple Wetstone,1
Drusian Prosecco di Valdobbiadene,Glera,Veneto Italy,Stone Fruit Pear Green Apple Citrus,1
Lucien Lardy Les Thorins Moulin-à-Vent,Gamay,Loire Valley France,Cherry BlackBerry Spiced Cake,1
Sylvain Gaudron Vouvray Demi-Sec,Chenin Blanc,Loire Valley France,Honeysuckle Stone Fruit,1
Chateau Dereszla Tokaji Aszú 5 Puttonyos,Furment,Hungary,Sweet Pineapple Mango Apricot,1
Suduiraut,Sauternes,Bordeaux France,Rose Petals Dried Apricot Lemon Honey,1
Grahams 10 Year Old Tawny Port,Tempranillo,Portugal,Cocoa Vanilla Raspberry,1
Lustau San Emilio Solera Reserva Sherry,Pedro Ximénez,Spain,Dried Plums Chocolate Exotic Spices,1
Warre's Otima 10 Year Old Tawny Port,Tempranillo,Portugal,Peach Berry Tobacco Smoke,1
Cossart Gordon 5 Year Old Bual Madeira,Negra Mole,Portugal,Apricot Maple Vanilla,1
Hentley Farm Shiraz,Shiraz,Barossa Valley Australia,Cherry Cassis Licorice,1
Ridge Vineyards Geyserville Alexander Valley Zinfandel,Zinfandel,California,Cherry Sweet BlackBerry Leather,1
